iter	RMSE
0	78235.90861
1	78154.28409
2	78079.11665
3	78006.07849
4	77942.89133
5	77867.3045
6	77795.00775
7	77729.69916
8	77658.22103
9	77590.46935
10	77524.64729
11	77456.96781
12	77408.15365
13	77342.42722
14	77281.01076
15	77224.06073
16	77159.53897
17	77102.30702
18	77044.05281
19	76981.75383
20	76925.66728
21	76884.74956
22	76825.07884
23	76773.57285
24	76718.71784
25	76664.09764
26	76609.53592
27	76555.89243
28	76504.34669
29	76453.08695
30	76404.59863
31	76356.23523
32	76305.75009
33	76255.56394
34	76215.14254
35	76166.41459
36	76121.80075
37	76074.30452
38	76029.19598
39	75985.28484
40	75942.1692
41	75897.56453
42	75854.66964
43	75810.98139
44	75770.12344
45	75731.34621
46	75692.94169
47	75657.08357
48	75621.53116
49	75585.60041
50	75545.81492
51	75509.52241
52	75472.11601
53	75436.42131
54	75412.43437
55	75388.72257
56	75353.55899
57	75317.3672
58	75283.38231
59	75250.21076
60	75220.01622
61	75188.38733
62	75157.02634
63	75124.36622
64	75095.17327
65	75063.25981
66	75032.93555
67	75005.09359
68	74975.59955
69	74946.42476
70	74917.3152
71	74893.23988
72	74867.06228
73	74838.50713
74	74813.20922
75	74787.67993
76	74762.5282
77	74740.14696
78	74716.85811
79	74691.51468
80	74669.62588
81	74646.97851
82	74626.9575
83	74605.55034
84	74583.68509
85	74562.19177
86	74539.08337
87	74518.52655
88	74497.84099
89	74478.86084
90	74458.87774
91	74438.04149
92	74420.3755
93	74401.06623
94	74380.12632
95	74360.56983
96	74340.73767
97	74320.43475
98	74301.85513
99	74283.99777
100	74267.9801
101	74251.98449
102	74234.36488
103	74215.63547
104	74198.43691
105	74181.10033
106	74165.89452
107	74150.38688
108	74135.14261
109	74120.63901
110	74105.57291
111	74089.27163
112	74074.67132
113	74059.6222
114	74044.79348
115	74029.277
116	74014.55663
117	73997.54865
118	73982.94223
119	73969.99829
120	73957.03154
121	73943.90238
122	73930.09215
123	73917.88825
124	73905.72331
125	73893.19216
126	73881.10094
127	73868.82793
128	73857.05463
129	73843.72983
130	73830.84808
131	73817.02471
132	73807.01778
133	73796.30128
134	73784.95301
135	73772.84179
136	73759.78866
137	73751.08659
138	73739.84206
139	73726.16677
140	73716.13734
141	73707.18016
142	73696.90331
143	73686.44684
144	73676.00742
145	73666.55742
146	73656.81918
147	73647.12115
148	73637.85137
149	73628.41047
150	73617.19967
151	73606.2353
152	73594.76228
153	73583.9879
154	73574.28061
155	73565.9867
156	73555.82691
157	73547.05512
158	73539.90573
159	73532.16043
160	73524.67089
161	73516.54516
162	73509.99473
163	73503.44223
164	73496.27026
165	73488.19998
166	73479.27728
167	73470.01332
168	73463.57429
169	73456.29527
170	73451.2845
171	73443.75123
172	73436.53594
173	73429.47581
174	73420.14543
175	73411.47069
176	73404.59895
177	73397.86333
178	73391.1469
179	73382.50825
180	73377.04682
181	73372.34318
182	73366.23942
183	73359.10375
184	73352.67406
185	73343.76726
186	73337.79836
187	73330.44364
188	73326.11647
189	73321.69451
190	73314.08768
191	73307.96771
192	73302.31557
193	73297.32609
194	73291.65672
195	73287.2524
196	73281.75646
197	73276.95605
198	73271.07825
199	73266.16074
200	73262.00405
201	73256.4814
202	73251.47315
203	73246.60542
204	73242.69193
205	73238.27838
206	73233.23734
207	73229.90832
208	73226.14676
209	73219.9147
210	73213.72375
211	73210.42276
212	73206.91081
213	73202.9466
214	73199.36805
215	73194.01572
216	73190.46813
217	73186.5112
218	73182.51866
219	73179.13518
220	73175.66053
221	73171.97719
222	73167.36574
223	73163.27224
224	73160.16868
225	73155.45602
226	73151.83731
227	73147.65362
228	73142.90273
229	73138.60484
230	73133.85975
231	73130.10992
232	73125.90308
233	73121.96261
234	73118.29734
235	73113.78012
236	73109.12773
237	73104.03097
238	73099.89161
239	73097.17794
240	73091.67272
241	73088.01847
242	73084.13644
243	73080.64341
244	73078.06211
245	73074.90794
246	73071.76172
247	73066.62967
248	73063.95177
249	73059.83092
250	73056.56263
251	73053.642
252	73050.57907
253	73048.03762
254	73044.61301
255	73038.67142
256	73035.79827
257	73032.58773
258	73029.64253
259	73026.77084
260	73024.03677
261	73021.16664
262	73018.26816
263	73015.07893
264	73011.82981
265	73009.05611
266	73005.77402
267	73000.89409
268	72998.40987
269	72995.16416
270	72993.77637
271	72990.7844
272	72988.20001
273	72984.9514
274	72981.85871
275	72979.56582
276	72976.84182
277	72974.43332
278	72970.40693
279	72968.04649
280	72965.8777
281	72963.83209
282	72961.91219
283	72957.40907
284	72955.51488
285	72953.17226
286	72948.63928
287	72946.02525
288	72943.30375
289	72941.34673
290	72938.41134
291	72936.50147
292	72933.80353
293	72931.46131
294	72928.77141
295	72926.62671
296	72924.92518
297	72922.54628
298	72917.75746
299	72914.34387
300	72911.74695
301	72910.2854
302	72908.18903
303	72905.84393
304	72901.94594
305	72898.51334
306	72896.08907
307	72894.34429
308	72892.43595
309	72890.17488
310	72888.37537
311	72885.95243
312	72884.13392
313	72882.81963
314	72881.18225
315	72879.61992
316	72877.15021
317	72874.82435
318	72873.64206
319	72871.49713
320	72869.83136
321	72868.29427
322	72864.17999
323	72859.85719
324	72856.30303
325	72855.15051
326	72853.41084
327	72851.71215
328	72849.97207
329	72848.41661
330	72845.08208
331	72842.15364
332	72840.89806
333	72838.97317
334	72837.2746
335	72835.92384
336	72834.89963
337	72833.31364
338	72831.54398
339	72829.87298
340	72828.07818
341	72826.64591
342	72825.22747
343	72823.84497
344	72822.42118
345	72821.32592
346	72818.68337
347	72816.96596
348	72815.39048
349	72811.94382
350	72810.42191
351	72809.47798
352	72807.72959
353	72805.85481
354	72802.46718
355	72801.05489
356	72799.97108
357	72798.3829
358	72796.67753
359	72794.58414
360	72792.10445
361	72788.83922
362	72787.42508
363	72785.98904
364	72784.72544
365	72783.76687
366	72780.65198
367	72779.25942
368	72778.31516
369	72777.28459
370	72775.48364
371	72774.39345
372	72773.18658
373	72772.17457
374	72771.16961
375	72769.95512
376	72769.18966
377	72768.22031
378	72766.94832
379	72765.69726
380	72764.24333
381	72763.35308
382	72762.53768
383	72761.01391
384	72759.85714
385	72758.7583
386	72757.41613
387	72756.30268
388	72753.59989
389	72752.32988
390	72751.29616
391	72748.33782
392	72747.78057
393	72746.60577
394	72745.48419
395	72744.60753
396	72743.57732
397	72742.70792
398	72739.50709
399	72738.17463
400	72735.27572
401	72732.02713
402	72730.92433
403	72729.06932
404	72726.0917
405	72724.92855
406	72723.94998
407	72722.55719
408	72720.31462
409	72719.27628
410	72718.44576
411	72715.78743
412	72714.73543
413	72714.15959
414	72712.87032
415	72711.96576
416	72711.04942
417	72710.07087
418	72708.53861
419	72705.6102
420	72704.6419
421	72703.72416
422	72702.58662
423	72701.94422
424	72700.72242
425	72699.92705
426	72698.85073
427	72697.70396
428	72696.54139
429	72694.66449
430	72693.37778
431	72690.97874
432	72690.03335
433	72689.07929
434	72688.07634
435	72686.85876
436	72686.01558
437	72684.73126
438	72684.09147
439	72682.73653
440	72680.09706
441	72679.39415
442	72678.36498
443	72677.53583
444	72675.09715
445	72674.44634
446	72673.2758
447	72672.71365
448	72671.72324
449	72671.02595
450	72669.52456
451	72667.5886
452	72666.78258
453	72665.84666
454	72665.50768
455	72663.1277
456	72662.42103
457	72661.64854
458	72660.88401
459	72659.98232
460	72658.86483
461	72658.13385
462	72656.8023
463	72656.26331
464	72655.19656
465	72654.02708
466	72651.07234
467	72649.56182
468	72648.91048
469	72648.00495
470	72647.46758
471	72646.46884
472	72645.92731
473	72645.43624
474	72644.28174
475	72643.68545
476	72643.36797
477	72640.93762
478	72639.99482
479	72639.39589
480	72638.16847
481	72637.17277
482	72636.52323
483	72635.54579
484	72635.13537
485	72634.51581
486	72633.69707
487	72632.12715
488	72631.54232
489	72631.03249
490	72629.26153
491	72628.47038
492	72628.11513
493	72626.79437
494	72625.45901
495	72624.13718
496	72623.18757
497	72622.52554
498	72621.64497
499	72620.91546
500	72620.90971
501	72620.4211
502	72619.77344
503	72618.66379
504	72617.84165
505	72615.51333
506	72614.7556
507	72614.46683
508	72613.097
509	72611.44354
510	72611.0484
511	72610.09952
512	72608.7961
513	72608.01979
514	72607.0254
515	72605.78678
516	72605.04878
517	72604.08402
518	72603.93575
519	72602.7704
520	72600.47565
521	72599.32702
522	72598.94138
523	72597.72136
524	72597.20145
525	72595.92343
526	72595.26397
527	72594.57092
528	72594.01377
529	72593.60077
530	72591.64878
531	72590.87365
532	72590.16381
533	72589.60301
534	72588.47
535	72587.62399
536	72587.06146
537	72586.05944
538	72585.71049
539	72584.51301
540	72582.60469
541	72582.05925
542	72581.15521
543	72580.05621
544	72578.33884
545	72578.0799
546	72576.73472
547	72575.17701
548	72574.12839
549	72573.66641
550	72573.02833
551	72571.16202
552	72569.19022
553	72567.00642
554	72565.83397
555	72565.13523
556	72564.11028
557	72563.11473
558	72562.23357
559	72561.95549
560	72559.60714
561	72558.69873
562	72557.85534
563	72556.49508
564	72555.02428
565	72554.54983
566	72554.07354
567	72553.54156
568	72552.97439
569	72552.41314
570	72550.68174
571	72550.0951
572	72548.7775
573	72547.94504
574	72547.25499
575	72546.46382
576	72545.12862
577	72544.8425
578	72543.22704
579	72542.6099
580	72542.04507
581	72541.49795
582	72540.37906
583	72539.72782
584	72537.71878
585	72536.80994
586	72535.994
587	72535.37371
588	72534.70668
589	72533.97612
590	72533.79045
591	72533.2883
592	72531.6266
593	72531.0691
594	72530.24087
595	72529.94271
596	72529.35
597	72528.82223
598	72527.97014
599	72527.24072
600	72526.65769
601	72526.11417
602	72525.58997
603	72525.36487
604	72525.0607
605	72524.67547
606	72524.19663
607	72523.23875
608	72521.56744
609	72521.39226
610	72521.06398
611	72519.85727
612	72519.02569
613	72518.00295
614	72516.73527
615	72515.71629
616	72514.99838
617	72513.99126
618	72513.29993
619	72512.44857
620	72512.02286
621	72511.54507
622	72510.13414
623	72509.89938
624	72508.88476
625	72507.70933
626	72506.39242
627	72505.34938
628	72504.49844
629	72503.88028
630	72503.49984
631	72503.24643
632	72502.59993
633	72502.20032
634	72502.00321
635	72501.4724
636	72500.55644
637	72500.30512
638	72499.76026
639	72499.46293
640	72499.03697
641	72498.31321
642	72497.86101
643	72495.9648
644	72495.66884
645	72494.9666
646	72494.66311
647	72493.69104
648	72493.30158
649	72491.82129
650	72491.12001
651	72490.63999
652	72489.56137
653	72488.68217
654	72488.5012
655	72487.88953
656	72487.77453
657	72487.41975
658	72486.3594
659	72485.33457
660	72484.86258
661	72484.0286
662	72482.71666
663	72482.11538
664	72481.53442
665	72480.23301
666	72479.70007
667	72478.0316
668	72477.36978
669	72476.96733
670	72475.03027
671	72474.5707
672	72474.20622
673	72474.01985
674	72473.06201
675	72472.09935
676	72471.423
677	72470.67712
678	72469.33443
679	72468.68281
680	72467.12484
681	72465.76402
682	72465.37353
683	72464.78865
