iter	Passed	Remaining
0	75	153688
1	139	141512
2	203	137859
3	253	128701
4	311	126630
5	379	128603
6	448	130202
7	513	130415
8	575	129634
9	639	129691
10	699	128960
11	762	128672
12	822	128070
13	889	128598
14	985	132896
15	1030	130238
16	1075	127838
17	1121	125824
18	1175	124866
19	1231	124275
20	1285	123477
21	1323	121263
22	1359	119076
23	1392	116824
24	1430	115179
25	1468	113673
26	1510	112472
27	1548	111151
28	1579	109396
29	1606	107513
30	1645	106533
31	1683	105503
32	1726	104876
33	1754	103430
34	1782	102027
35	1811	100762
36	1837	99358
37	1861	97961
38	1885	96665
39	1910	95416
40	1935	94272
41	1962	93284
42	1985	92140
43	2048	92818
44	2081	92190
45	2110	91399
46	2146	90921
47	2179	90341
48	2205	89543
49	2238	89004
50	2271	88481
51	2302	87948
52	2331	87335
53	2360	86738
54	2387	86083
55	2414	85456
56	2445	85007
57	2475	84504
58	2506	84069
59	2533	83533
60	2562	83042
61	2590	82568
62	2618	82081
63	2645	81609
64	2674	81194
65	2701	80707
66	2728	80252
67	2758	79922
68	2786	79514
69	2814	79120
70	2842	78740
71	2869	78353
72	2895	77939
73	2923	77600
74	2950	77220
75	2973	76776
76	2997	76340
77	3020	75894
78	3048	75594
79	3073	75216
80	3099	74880
81	3124	74524
82	3148	74156
83	3176	73882
84	3200	73532
85	3224	73190
86	3249	72878
87	3275	72573
88	3305	72376
89	3331	72098
90	3354	71769
91	3376	71429
92	3399	71103
93	3426	70852
94	3447	70514
95	3469	70195
96	3504	70129
97	3530	69879
98	3554	69610
99	3580	69384
100	3604	69133
101	3629	68889
102	3651	68594
103	3677	68389
104	3702	68169
105	3730	67990
106	3755	67773
107	3778	67524
108	3801	67273
109	3825	67057
110	3849	66820
111	3871	66576
112	3896	66373
113	3921	66191
114	3948	66017
115	3970	65791
116	3993	65575
117	4017	65367
118	4043	65200
119	4063	64943
120	4086	64739
121	4107	64511
122	4132	64339
123	4154	64120
124	4174	63880
125	4194	63656
126	4213	63400
127	4238	63247
128	4258	63025
129	4279	62817
130	4302	62638
131	4324	62437
132	4342	62192
133	4360	61961
134	4380	61755
135	4403	61579
136	4426	61421
137	4450	61270
138	4477	61165
139	4497	60979
140	4521	60833
141	4544	60682
142	4565	60504
143	4591	60387
144	4615	60256
145	4641	60142
146	4666	60032
147	4688	59874
148	4713	59755
149	4735	59601
150	4758	59470
151	4787	59397
152	4809	59255
153	4832	59123
154	4860	59044
155	4883	58910
156	4904	58757
157	4927	58627
